Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
A0JNK3,3.4.21.108,3,3.4,3.4.21,3.4.21.-
E1JIB2,1.21.1.1,1,1.21,1.21.1,1.21.1.1
O06644,2.8.3.16,2,2.8,2.8.3,2.8.3.-
O23240,1.1.99.39,1,1.1,1.1.99,1.1.99.39
O33599,3.4.24.75,3,3.4,3.4.24,3.4.24.-
P18459,1.14.16.2,1,1.14,1.14.16,1.14.16.2
P32055,1.1.1.271,1,1.1,5.1.3,1.1.1.271
P36143,2.4.1.186,2,2.4,2.4.1,2.4.1.-
P50488,2.7.11.30,2,2.7,2.7.11,2.7.11.30
P54781,1.14.19.41,1,1.14,1.14.19,1.14.19.41
P75063,1.1.3.21,1,1.1,1.1.5,1.1.99.2
Q01433,3.5.4.6,3,3.5,3.5.4,3.5.4.6
Q02219,1.7.2.1,1,1.10,1.7.2,1.7.2.1
Q03043,2.7.11.12,2,2.7,2.7.11,2.7.11.12
Q03336,3.1.1.17,3,3.1,3.1.1,3.1.1.-
Q10MI4,2.1.1.356,2,2.1,2.1.1,2.1.1.356
Q1LZ86,3.1.1.23,3,3.1,3.1.1,3.1.1.-
Q1W3E4,2.8.5.2,2,2.8,2.8.5,2.8.5.2
Q27995,1.14.13.39,1,1.14,1.14.13,1.14.13.39
Q4W6B5,3.4.24.64,3,3.4,3.4.24,3.4.24.64
Q51366,4.2.1.47,4,4.2,5.1.3,5.1.3.2
Q56VR3,3.4.21.6,3,3.4,3.4.21,3.4.21.-
Q5A651,3.4.23.24,3,3.4,3.4.23,3.4.23.-
Q5AQQ0,3.5.1.41,3,3.5,3.5.1,3.5.1.41
Q60393,3.4.24.69,3,3.4,3.4.24,3.4.24.69
Q62101,2.7.11.13,2,2.7,2.7.11,2.7.11.13
Q6DWK3,3.5.1.41,3,3.5,3.5.1,3.5.1.41
Q6NSQ9,3.1.3.9,3,3.1,3.1.3,3.1.3.9
Q6P5Z2,2.7.11.13,2,2.7,2.7.11,2.7.11.13
Q6TGC4,3.5.3.15,3,3.5,3.5.3,3.5.3.15
Q6Z1Y6,2.3.1.87,2,2.3,2.3.1,2.3.1.-
Q7RTP6,1.14.13.225,1,1.14,1.14.13,1.14.13.225
Q820M5,2.4.1.13,2,2.4,2.4.1,2.4.1.13
Q84N64,3.6.5.5,3,3.6,3.6.5,3.6.5.5
Q8BG87,1.14.11.n2,1,2.3,1.14.11,1.14.11.n2
Q8C7R4,6.2.1.45,6,6.2,6.2.1,6.2.1.45
Q8FDQ2,5.3.1.13,5,5.3,5.3.1,5.3.1.13
Q8GUI6,1.14.11.67,1,1.14,1.14.11,1.14.11.-
Q8L7L1,2.7.1.91,2,2.7,2.7.1,2.7.1.91
Q8L866,1.4.3.21,1,1.4,1.4.3,1.4.3.21
Q8MV48,2.4.1.41,2,2.4,2.4.1,2.4.1.41
Q8MVS5,2.4.1.41,2,2.4,2.4.1,2.4.1.41
Q8MYY6,2.4.1.41,2,2.4,2.4.1,2.4.1.41
Q8N3E9,3.1.4.11,3,3.1,3.1.4,3.1.4.11
Q8VYB9,1.14.11.65,1,1.14,1.14.11,1.14.11.-
Q8WQX6,2.7.7.52,2,2.7,2.7.7,2.7.7.19
Q8X225,2.1.1.355,2,2.1,2.1.1,2.1.1.-
Q91VB2,2.7.11.17,2,2.7,2.7.11,2.7.11.18
Q95ZS2,4.1.1.25,4,4.1,4.1.1,4.1.1.28
Q96L73,2.1.1.357,2,2.1,2.1.1,2.1.1.354
Q96N76,4.2.1.49,4,4.2,4.2.1,4.2.1.49
Q99034,3.1.1.72,3,3.1,3.1.1,3.1.1.74
Q9BQ50,3.1.11.2,3,3.1,3.1.11,3.1.11.-
Q9C5H5,2.7.11.25,2,2.7,2.7.11,2.7.11.25
Q9CAD5,2.7.11.25,2,2.7,2.7.11,2.7.11.25
Q9CQJ0,3.1.2.2,3,3.1,3.1.2,3.1.2.2
Q9ESL4,2.7.11.25,2,2.7,2.7.11,2.7.11.25
Q9FMN2,3.1.3.4,3,3.1,3.1.3,3.1.3.4
Q9FX43,2.7.12.2,2,2.7,2.7.12,2.7.12.2
Q9GRT1,2.7.12.2,2,2.7,2.7.12,2.7.12.2
Q9HBH5,1.1.1.300,1,1.1,1.1.1,1.1.1.300
Q9KH71,2.7.1.90,2,2.7,2.7.1,2.7.1.11
Q9LTS3,1.5.99.12,1,1.5,1.5.99,1.5.99.12
Q9LZI2,4.1.1.35,4,4.1,4.1.1,4.1.1.35
Q9M1Z5,2.7.11.24,2,2.7,2.7.11,2.7.11.24
Q9MAT5,2.1.1.319,2,2.1,2.1.1,2.1.1.-
Q9P212,3.1.4.11,2,2.7,2.7.11,2.7.11.1
Q9P2G1,2.3.2.31,2,2.3,2.3.2,2.3.2.31
Q9P3U4,2.3.2.31,2,2.3,2.3.2,2.3.2.31
Q9QYC8,3.6.1.6,3,3.6,3.6.1,3.6.1.6
Q9S7U9,2.7.12.2,2,2.7,2.7.12,2.7.12.2
Q9UBZ4,3.1.11.2,3,3.1,3.1.11,3.1.11.2
Q9UMN6,2.1.1.364,2,1.14,1.14.11,1.14.11.-
Q9V422,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q9V6K3,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q9V7Y2,4.1.2.27,4,4.1,4.1.2,4.1.2.27
Q9VBW3,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q9VTG7,2.4.1.135,2,2.4,2.4.1,2.4.1.135
Q9W354,2.7.11.24,2,2.7,2.7.11,2.7.11.24
Q9W3C7,3.1.2.22,3,3.1,3.1.2,3.1.2.22
Q9W4T4,3.1.4.53,3,3.1,3.1.4,3.1.4.53
Q9W5Y0,3.4.24.11,3,3.4,3.4.24,3.4.24.-
Q9WYC5,2.7.1.90,2,2.7,2.7.1,2.7.1.90
Q9XFR9,1.14.11.13,1,1.14,1.14.11,1.14.11.13
Q9XTF3,2.7.12.1,2,2.7,2.7.12,2.7.12.1
Q9Y2C4,3.1.30.-,3,3.1,3.1.30,3.1.30.-
Q9Y2G3,7.6.2.1,7,7.6,7.6.2,7.6.2.1
Q9Y4X5,2.3.2.31,2,2.3,2.3.2,2.3.2.31
Q9YI66,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q9Z138,2.7.10.1,2,2.7,2.7.10,2.7.10.1
A0A1D8EJG8,3.1.1.117,3,3.1,3.1.1,3.1.1.117
A0A509AKB8,2.4.1.221,2,2.4,2.4.1,2.4.1.-
A2CI35,2.7.12.1,2,2.7,2.7.12,2.7.12.1
A3AWA4,7.2.2.8,7,7.2,7.2.2,7.2.2.8
A8DZJ1,2.7.10.2,2,2.7,2.7.10,2.7.10.2
A8WZ92,2.7.10.2,2,2.7,2.7.10,2.7.10.2
