Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
A0A286R227,1.7.1.1,1,1.7,1.7.1,1.7.1.1
A0A509AKL0,2.7.11.12,2,2.7,2.7.11,2.7.11.12
A7LXT7,3.2.1.151,3,3.2,3.2.1,3.2.1.4
B9DGU7,2.7.6.2,2,2.7,2.7.6,2.7.6.2
D7A6E5,2.8.5.2,2,2.8,2.8.5,2.8.5.2
G3V6U9,2.1.1.85,2,2.1,2.1.1,2.1.1.-
G5EBM1,3.4.22.36,3,3.4,3.4.22,3.4.22.-
I0J1I6,5.1.1.10,5,5.1,5.1.1,5.1.1.1
O31526,4.2.2.23,3,3.2,3.2.1,3.2.1.20
O75354,3.6.1.6,3,3.6,3.6.1,3.6.1.5
O77760,2.3.1.26,2,2.3,2.3.1,2.3.1.-
O95470,4.1.2.27,4,4.1,4.1.2,4.1.2.27
O97422,2.4.1.135,2,2.4,2.4.1,2.4.1.135
O97921,5.3.99.2,3,3.4,3.4.21,3.4.21.-
P00973,2.7.7.84,2,2.7,2.7.7,2.7.7.19
P04070,3.4.21.69,3,3.4,3.4.21,3.4.21.-
P08319,1.1.1.105,1,1.1,1.1.1,1.1.1.1
P0AF18,3.5.1.25,3,3.5,3.5.1,3.5.1.25
P0AFL6,3.6.1.11,3,3.6,3.6.1,3.6.1.40
P0C2T7,3.4.11.4,3,3.4,3.4.11,3.4.11.-
P0CZ23,1.3.3.6,1,1.3,1.3.3,1.3.3.6
P0DPI0,3.4.24.69,3,3.4,3.4.24,3.4.24.-
P13272,7.1.1.8,7,7.1,7.1.1,7.1.1.8
P19318,1.7.5.1,1,1.7,1.7.5,1.7.5.1
P22007,2.5.1.58,2,2.5,2.5.1,2.5.1.58
P25809,2.7.3.2,2,2.7,2.7.3,2.7.3.3
P27864,3.1.11.2,3,3.1,3.1.11,3.1.11.2
P32481,3.6.5.3,3,3.6,3.6.5,3.6.5.3
P32866,2.7.11.16,2,2.7,2.7.11,2.7.11.1
P36582,2.7.11.13,2,2.7,2.7.11,2.7.11.13
P36583,2.7.11.13,2,2.7,2.7.11,2.7.11.13
P36896,2.7.11.30,2,2.7,2.7.11,2.7.11.30
P37313,7.4.2.9,7,7.4,7.4.2,7.4.2.-
P37552,3.5.99.10,3,3.5,3.5.99,3.5.99.10
P38891,2.6.1.42,2,2.6,2.6.1,2.6.1.42
P39576,2.6.1.42,2,2.6,2.6.1,2.6.1.42
P40559,3.1.3.36,3,3.1,3.1.3,3.1.3.36
P42738,5.4.99.5,7,7.1,7.1.1,7.1.1.-
P43094,3.4.23.24,3,3.4,3.4.23,3.4.23.-
P46881,1.4.3.21,1,1.4,1.4.3,1.4.3.21
P47156,1.14.11.67,1,1.14,1.14.11,1.14.11.67
P48651,2.7.8.29,2,2.7,2.7.8,2.7.8.29
P51813,2.7.10.2,2,2.7,2.7.10,2.7.10.2
P52333,2.7.10.2,2,2.7,2.7.10,2.7.10.2
P54350,2.7.10.2,2,2.7,2.7.11,2.7.11.1
P54673,2.7.1.137,2,2.7,2.7.1,2.7.1.137
P54674,2.7.1.137,2,2.7,2.7.11,2.7.11.1
P54679,7.1.2.1,7,7.1,7.1.2,7.1.2.1
P61294,3.6.5.2,3,3.6,3.6.5,3.6.5.2
P69908,4.1.1.15,4,4.1,4.1.1,4.1.1.15
P70600,2.7.10.2,2,2.7,2.7.10,2.7.10.2
P81204,3.1.30.-,3,3.1,3.1.30,3.1.30.-
P82450,3.1.1.53,3,3.1,3.1.1,3.1.1.-
P82476,3.5.1.41,3,3.5,3.5.1,3.5.1.41
P86924,6.5.1.3,6,6.5,6.5.1,6.5.1.3
P92949,1.16.1.7,1,1.16,1.16.1,1.16.1.-
P94417,2.7.2.4,2,2.7,2.7.2,2.7.2.4
P94522,3.2.1.99,3,3.2,3.2.1,3.2.1.99
P96716,2.7.10.2,2,2.7,2.7.10,2.7.10.2
P98198,7.6.2.1,7,7.6,7.6.2,7.6.2.1
P98205,7.6.2.1,7,7.6,7.6.2,7.6.2.1
P9WPS3,7.2.2.8,7,7.2,7.2.2,7.2.2.9
