Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
A0A023I7E1,3.2.1.39,3,3.2,3.2.1,3.2.1.39
A0A024SC78,3.1.1.74,3,3.1,3.1.1,3.1.1.74
A0A067XRK9,2.4.1.207,2,2.4,2.4.1,2.4.1.207
A0A072UR65,3.2.1.14,3,3.2,3.2.1,3.2.1.14
A0A075F7E9,2.7.11.1,2,2.7,2.7.11,2.7.11.1
A0A075TJ05,3.4.17.-,3,3.5,3.5.2,3.5.2.7
A0A087X1C5,1.14.14.1,1,1.14,1.14.14,1.14.14.1
A0A0A7EPL0,2.3.2.-,2,2.3,2.3.2,2.3.2.-
A0A0B0QJR1,3.1.27.-,4,4.1,1.16.3,1.16.3.1
A0A0B4K7J2,2.3.2.-,2,2.7,2.7.11,2.7.11.1
A0A0B5LB55,3.1.1.-,3,3.1,3.1.1,3.1.1.-
A0A0B6CGH9,1.14.13.-,1,1.14,1.14.11,1.14.11.-
A0A0C5XL88,2.4.2.-,2,2.4,2.4.2,2.4.2.-
A0A0D1DWQ2,5.4.99.5,4,4.2,4.2.1,5.4.99.5
A0A0F5HNH9,1.16.3.1,1,1.16,1.16.3,1.16.3.1
A0A0G2L7I0,3.4.24.-,3,3.4,3.4.24,3.4.24.-
A0A0H3JNB0,2.4.1.-,2,2.4,2.4.1,2.4.1.-
A0A0H3JRU9,6.4.1.1,6,6.4,6.4.1,6.4.1.1
A0A0K0JFP3,2.7.1.1,2,2.7,2.7.1,2.7.1.1
A0A0K3AV08,2.7.11.25,2,2.7,2.7.11,2.7.11.25
A0A0L7KF24,3.4.24.-,3,3.4,3.4.24,3.4.24.-
A0A0N9NCU6,2.3.1.-,3,3.4,3.4.22,3.4.22.-
A0A0P0VIP0,2.7.11.1,2,2.7,2.7.11,2.7.11.1
A0A0P0WGX7,3.6.4.-,3,3.6,3.6.4,3.6.4.-
A0A0P0XCU3,2.4.1.21,3,3.2,3.2.1,3.2.1.-
A0A0P0XII1,2.7.11.1,2,2.7,2.7.11,2.7.11.1
A0A0P6JG37,3.5.1.23,3,3.5,3.5.1,3.5.1.23
A0A0R6Y3I5,2.7.2.11,2,2.7,2.7.2,2.7.2.11
A0A0U1RPR8,4.6.1.2,4,4.6,4.6.1,4.6.1.2
A0A126GUP6,3.4.21.-,3,3.4,3.4.21,3.4.21.-
A0A144A134,3.1.3.99,3,3.1,3.1.3,3.1.3.99
A0A172J1V3,2.1.1.-,2,2.1,2.1.1,2.1.1.-
A0A1B0GTW7,3.4.24.-,3,3.4,3.4.24,3.4.24.-
A0A1B1J8Z2,3.2.1.14,3,3.2,3.2.1,3.2.1.14
A0A1D5NSK0,3.4.24.-,3,3.4,3.4.24,3.4.24.-
A0A1D5PRR9,3.6.4.13,3,3.6,3.6.4,3.6.4.13
A0A1D8PPK1,1.6.99.1,1,1.6,1.6.99,1.6.99.1
A0A1E1FFL0,1.14.11.-,1,1.14,1.14.11,1.14.11.-
A0A1L3THR9,3.5.1.41,3,3.5,3.5.1,3.5.1.41
A0A1L4BJ46,3.1.1.4,3,3.1,3.1.1,3.1.1.4
A0A1L4BJ98,4.6.1.-,4,4.6,4.6.1,4.6.1.-
A0A1L7NQ96,5.1.3.-,5,5.1,5.1.3,5.1.3.-
A0A1L8G2K9,3.4.24.-,3,3.6,3.6.4,3.6.1.-
A0A1S3YCW2,4.1.1.19,4,4.1,4.1.1,4.1.1.19
A0A1S4GMJ4,3.4.21.-,3,3.4,3.4.21,3.4.21.-
A0A1V0E4A6,4.2.3.-,4,4.2,4.2.3,4.2.3.-
A0A2I0C265,3.4.23.-,3,3.4,3.4.23,3.4.23.-
A0A2K3D5Z7,1.14.99.-,1,1.14,1.14.11,1.14.11.n2
A0A2K8FQU5,2.3.1.-,2,2.3,2.3.1,2.3.1.-
A0A2T5Y4G4,3.2.2.5,3,3.2,3.2.2,3.2.2.5
A0A2Z5XAU0,5.5.1.-,5,5.5,5.5.1,5.5.1.-
A0A336U966,1.14.18.-,1,1.14,1.14.18,1.14.18.1
A0A386KZ50,2.5.1.-,4,4.2,4.2.3,4.2.3.-
A0A3Q0KR05,6.3.2.-,6,6.3,6.3.2,6.3.2.-
A0A3Q2TTB3,2.7.7.-,2,2.7,2.7.7,2.7.7.-
A0A3S7WQS5,2.9.1.2,2,2.9,2.9.1,2.9.1.2
A0A452E9Y6,1.11.1.7,1,1.11,1.11.1,1.11.1.7
A0A455R4Z0,5.4.99.-,5,5.4,5.4.99,5.4.99.-
A0A4Y6HUD7,4.3.1.24,4,4.3,4.3.1,4.3.1.24
A0A509AH51,2.7.11.1,2,2.7,2.7.11,2.7.11.1
A0A509AMC3,2.7.11.1,3,3.4,3.4.17,3.4.17.-
A0A509APX1,4.6.1.2,4,4.6,4.6.1,4.6.1.2
A0A517FNC6,1.14.14.-,1,1.14,1.14.14,1.14.14.-
A0A5C2A2T2,3.1.1.4,3,3.1,3.1.1,3.1.1.4
A0A5K1K8H0,2.7.11.1,2,2.7,2.7.11,2.7.11.1
A0A7J6K7I9,2.7.11.1,2,2.7,2.7.11,2.7.11.1
A0A7J6K7Y0,2.7.11.1,2,2.7,2.7.11,2.7.11.1
A0AVI4,2.3.2.27,2,2.3,2.3.2,2.3.2.27
A0FKE6,4.3.1.19,4,4.3,4.3.1,4.3.1.19
A0JMQ9,3.4.19.12,3,3.4,3.4.19,3.4.19.12
A0JNH9,3.1.1.-,2,2.3,2.3.2,2.3.2.27
A0JPF9,2.7.7.40,2,2.7,2.7.7,2.7.7.40
A0MQA3,3.4.23.-,3,3.4,3.4.23,3.4.23.-
A0QVH8,3.4.24.-,3,3.4,3.4.24,3.4.24.-
A0QXD8,1.1.1.-,1,1.1,1.1.1,1.1.1.-
