Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
P13607,7.2.2.13,7,7.2,7.2.2,7.2.2.10
P16294,3.4.21.22,3,3.4,3.4.21,3.4.21.6
P33022,3.2.2.8,3,3.5,3.1.1,2.7.1.11
P9WQE7,2.3.1.292,2,2.3,2.3.1,2.3.1.292
Q16671,2.7.11.30,2,2.7,2.7.11,2.7.11.30
Q5RFL1,3.4.14.9,3,3.4,3.4.14,3.4.14.10
Q8IVL6,1.14.11.7,1,1.14,1.14.11,1.14.11.-
Q8MMZ8,2.7.11.12,2,2.7,2.7.11,2.7.11.12
Q8WP15,2.7.11.14,2,2.7,2.7.11,2.7.11.16
Q9CYC6,3.6.1.62,3,3.6,3.6.1,3.6.1.-
Q9K4M4,2.8.5.2,2,2.8,2.8.5,2.8.5.2
Q9M881,1.14.19.2,1,1.14,1.14.19,1.14.19.-
Q9V576,3.1.3.4,3,3.1,3.1.3,3.1.3.-
Q9VUT6,2.4.1.41,2,2.4,2.4.1,2.4.1.41
Q9Y117,2.4.1.41,2,2.4,2.4.1,2.4.1.41
A0A1L8GSA2,1.14.11.n2,1,1.14,1.14.11,1.14.11.n2
A0A242DI27,3.4.24.69,3,3.4,3.4.24,3.4.24.69
A5K6G1,2.4.1.221,2,2.4,2.4.1,2.4.1.221
A6NHC0,3.4.22.53,3,3.4,3.4.22,3.4.22.-
A8WWX1,2.7.11.25,2,2.7,2.7.11,2.7.11.1
A9RVK2,2.7.11.25,2,2.7,2.7.11,2.7.11.1
F1QWK4,1.14.13.225,1,1.14,1.14.13,1.14.13.225
F4KU78,1.21.1.1,1,1.21,1.21.1,1.21.1.1
G3V9Q9,2.4.1.87,2,2.4,2.4.1,2.4.1.-
G4NDR3,2.7.11.24,2,2.7,2.7.11,2.7.11.1
O14159,2.7.1.91,2,2.7,2.7.1,2.7.1.91
O61309,1.14.13.39,1,1.14,1.14.13,1.14.13.39
O94305,3.1.1.23,3,3.1,3.1.1,3.1.1.23
O94523,1.14.19.1,1,1.14,1.14.19,1.14.19.-
P60584,1.3.8.13,1,1.3,1.3.99,1.3.99.-
P68735,3.4.24.28,3,3.4,3.4.24,3.4.24.-
P87253,2.7.11.13,2,2.7,2.7.11,2.7.11.13
P9WP51,4.2.1.22,4,4.2,4.2.1,4.2.1.22
Q07121,1.4.3.21,1,1.4,1.4.3,1.4.3.21
Q08908,1.16.1.9,1,1.16,1.16.1,1.16.1.9
Q10029,4.6.1.2,4,4.6,4.6.1,4.6.1.2
Q16975,2.7.11.13,2,2.7,2.7.11,2.7.11.13
Q18331,4.6.1.2,4,4.6,4.6.1,4.6.1.2
Q19768,4.6.1.2,4,4.6,4.6.1,4.6.1.2
Q20845,2.7.11.21,2,2.7,2.7.11,2.7.11.21
Q4V8K3,2.3.1.255,2,2.3,2.3.1,2.3.1.-
Q4WXY0,2.7.11.24,3,2.7,2.7.11,2.7.11.1
Q54HI0,2.1.1.319,2,2.1,2.1.1,2.1.1.-
Q55AX0,3.6.5.5,3,3.6,3.6.5,3.6.5.5
Q5HZN1,1.14.11.65,1,1.14,1.14.11,1.14.11.n2
Q5QQ55,2.4.2.26,2,2.4,2.4.2,2.4.2.26
Q617Y0,3.6.1.6,3,3.6,3.6.1,3.6.1.5
Q61T02,1.14.11.67,1,1.14,1.14.11,1.14.11.67
Q6B9Y8,2.7.7.52,2,2.7,2.7.7,2.7.7.19
Q6DNF3,4.6.1.2,4,4.6,4.6.1,4.6.1.2
Q6L5D4,2.7.11.24,2,2.7,2.7.11,2.7.11.24
Q6NMA7,3.1.4.11,3,3.1,3.1.4,3.1.4.11
Q6Q4G4,3.4.15.1,3,3.4,3.4.15,3.4.15.1
Q6UDK6,3.4.21.97,3,3.4,3.4.21,3.4.21.97
Q76NV1,2.7.12.1,2,2.7,2.7.11,2.7.11.1
Q7UHU7,2.1.1.192,2,2.1,2.1.1,2.1.1.192
Q7Z0G7,2.1.1.364,2,2.1,2.1.1,2.1.1.-
