Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
P00797,3.4.23.15,3,3.4,3.4.23,3.4.23.-
P10547,3.4.24.75,3,3.4,3.4.21,3.4.21.-
P30920,2.4.1.19,3,3.2,3.2.1,3.2.1.1
P47011,2.4.1.186,2,2.4,2.4.1,2.4.1.-
P90986,1.14.16.2,1,1.14,1.14.16,1.14.16.1
Q09488,2.7.11.30,2,2.7,2.7.11,2.7.11.30
Q13237,2.7.11.12,2,2.7,2.7.11,2.7.11.12
Q3V1N9,2.4.1.87,2,2.4,2.4.1,2.4.1.-
Q54DD0,3.5.4.6,3,3.5,3.5.4,3.5.4.6
Q5AEM6,3.4.23.24,3,3.4,3.4.23,3.4.23.-
Q66GP9,1.14.13.39,3,3.6,3.6.1,3.6.1.-
Q86BA1,1.14.13.225,1,1.14,1.14.13,1.14.13.225
Q8IVL5,1.14.11.7,1,1.14,1.14.11,1.14.11.2
Q8KDM7,2.8.5.2,2,2.8,2.8.5,2.8.5.2
Q8N3T1,2.4.1.41,2,2.4,2.4.1,2.4.1.41
Q8N428,2.4.1.41,2,2.4,2.4.1,2.4.1.41
Q8NFU7,1.14.11.n2,1,1.14,1.14.11,1.14.11.n2
Q91YD3,3.6.1.62,3,3.6,3.6.1,3.6.1.62
Q94521,2.3.1.87,2,2.3,2.3.1,2.3.1.-
Q9EQQ0,2.1.1.355,2,2.1,2.1.1,2.1.1.-
Q9FX32,2.4.1.13,2,2.4,2.4.1,2.4.1.11
Q9LQ55,3.6.5.5,3,3.6,3.6.5,3.6.5.5
Q9M0G4,4.1.1.25,4,4.1,4.1.1,4.1.1.22
Q9M9F5,1.13.11.51,1,1.13,1.13.11,1.13.11.-
Q9NH52,2.1.1.357,2,2.1,2.1.1,2.1.1.-
Q9NRA0,2.7.1.91,2,2.7,2.7.1,2.7.1.91
Q9NY28,2.4.1.41,2,2.4,2.4.1,2.4.1.41
Q9R144,2.1.1.319,2,2.1,2.1.1,2.1.1.319
Q9SF47,3.1.3.4,3,3.1,3.1.3,3.1.3.16
Q9SND6,2.7.11.25,2,2.7,2.7.11,2.7.11.25
Q9SSE9,1.14.11.65,1,1.14,1.14.11,1.14.11.65
Q9V3Q6,2.7.11.25,2,2.7,2.7.11,2.7.11.25
Q9VI58,2.7.7.52,2,2.7,2.7.7,2.7.7.19
Q9VLJ6,3.4.15.1,3,3.4,3.4.15,3.4.15.1
Q9VMJ7,1.14.11.67,1,1.14,1.14.11,1.14.11.67
Q9WTR2,2.7.11.25,2,2.7,2.7.11,2.7.11.25
Q9XU84,3.6.1.6,3,3.6,3.6.1,3.6.1.5
Q9Y6R4,2.7.11.25,2,2.7,2.7.11,2.7.10.-
Q9Y884,2.7.12.2,2,2.7,2.7.12,2.7.12.2
Q9Y899,2.7.11.17,2,2.7,2.7.11,2.7.11.1
Q9Z186,3.1.3.9,3,3.1,3.1.3,3.1.3.-
Q9ZSD6,3.4.19.5,3,3.5,3.4.19,3.4.19.5
Q9ZSM8,2.1.1.356,2,2.1,2.1.1,2.1.1.356
A0A069CUU9,3.4.24.69,3,3.4,3.4.24,3.4.24.-
A0A509ADV9,3.1.11.2,3,3.1,3.1.11,3.1.11.2
A0QNZ7,3.1.1.23,3,3.1,3.1.1,3.1.1.-
