Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
B3GSH5,2.1.1.4,2,2.1,2.1.1,2.1.1.-
G1TGF1,5.3.99.3,3,3.1,3.1.11,3.1.4.12
H2KYQ5,2.4.1.186,2,2.4,2.4.1,2.4.1.186
O05306,3.2.2.n1,3,3.2,3.2.2,3.2.2.n1
O33434,2.8.5.2,2,2.8,2.8.5,2.8.5.2
O57878,5.1.1.10,2,2.6,2.6.1,2.6.1.-
O76360,2.7.11.12,2,2.7,2.7.11,2.7.11.12
O80452,3.5.4.6,3,3.5,3.5.4,3.5.4.6
P04181,2.6.1.13,2,2.6,2.6.1,2.6.1.13
P05656,3.2.1.80,3,3.2,3.2.1,3.2.1.26
P0DPK1,3.4.24.69,3,3.4,3.4.24,3.4.24.69
P10265,3.4.23.50,3,3.4,3.4.23,3.4.23.-
P17115,5.3.1.13,5,5.3,5.3.1,5.3.1.13
P17563,1.8.3.4,1,1.13,1.13.11,1.8.3.4
P22314,6.2.1.45,6,6.2,6.2.1,6.2.1.45
P32573,1.3.1.124,1,1.3,1.3.1,1.3.1.124
P37172,2.7.11.30,2,2.7,2.7.11,2.7.11.30
P38207,3.1.11.2,3,3.1,3.1.11,3.1.11.2
P42124,2.1.1.356,2,2.1,2.1.1,2.1.1.356
P43057,2.7.11.13,2,2.7,2.7.11,2.7.11.13
P45951,3.1.11.2,3,3.1,3.1.11,3.1.11.2
P46883,1.4.3.21,1,1.4,1.4.3,1.4.3.21
P49356,2.5.1.58,2,2.5,2.5.1,2.5.1.58
P52759,3.5.99.10,3,3.5,3.5.99,3.5.99.10
P54675,2.7.1.137,2,2.7,2.7.1,2.7.1.137
P54688,2.6.1.42,2,2.6,2.6.1,2.6.1.42
P56100,7.1.1.7,7,7.1,7.1.1,7.1.1.7
P70268,2.7.11.13,2,2.7,2.7.11,2.7.11.13
P86926,6.5.1.3,6,6.5,6.5.1,6.5.1.3
P9WIB9,5.4.99.5,5,5.4,5.4.99,5.4.99.5
P9WIC1,5.4.99.5,1,5.4,5.4.99,5.4.99.5
P9WJQ3,1.7.5.1,1,1.7,1.7.5,1.7.5.1
Q01984,2.1.1.8,2,2.1,2.1.1,2.1.1.-
Q04656,7.2.2.8,7,7.2,7.2.2,7.2.2.8
Q06703,3.5.1.41,3,3.5,3.5.1,3.5.1.41
Q09363,2.4.1.135,2,2.4,2.4.1,2.4.1.135
Q09639,2.7.11.16,2,2.7,2.7.11,2.7.11.1
Q10356,4.2.1.130,4,4.2,4.2.1,4.2.1.130
Q10480,3.1.30.-,3,3.1,3.1.30,3.1.30.-
Q10925,2.7.10.2,2,2.7,2.7.10,2.7.10.2
Q12675,7.6.2.1,7,7.6,7.6.2,7.6.2.1
Q13470,2.7.10.2,2,2.7,2.7.10,2.7.10.2
Q13882,2.7.10.2,2,2.7,2.7.10,2.7.10.2
Q19202,3.6.1.6,3,3.6,3.6.1,3.6.1.5
Q21038,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q21222,3.6.4.10,3,3.6,3.6.4,3.6.4.10
Q22146,2.7.10.2,2,2.7,2.7.10,2.7.10.2
Q23977,2.7.12.2,2,2.7,2.7.11,2.7.11.1
Q24145,2.7.10.2,2,2.7,2.7.10,2.7.10.2
Q24488,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q24592,2.7.10.2,2,2.7,2.7.10,2.7.10.2
Q26614,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q27324,2.7.10.1,2,2.7,2.7.10,2.7.10.1
Q2RNU4,2.7.1.90,2,2.7,2.7.1,2.7.1.90
Q3KTM0,1.16.1.7,1,1.16,1.16.1,1.16.1.7
Q42521,4.1.1.15,4,4.1,4.1.1,4.1.1.15
