Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
A0A0B4K692,3.4.24.11,3,3.4,3.4.24,3.4.24.-
A0A1J1DL12,3.5.99.10,3,3.5,3.5.99,3.5.99.10
B1WC61,1.3.8.-,1,1.3,1.3.8,1.3.8.1
D2W6T1,1.14.11.n2,1,1.14,1.14.11,1.14.11.-
D3DJG5,2.8.5.2,2,2.8,2.8.5,2.8.5.2
E9Q9A9,2.7.7.84,2,2.7,2.7.7,2.7.7.84
G4MY67,2.5.1.58,2,2.5,2.5.1,2.5.1.58
J9VPD7,3.5.1.41,3,3.5,3.5.1,3.5.1.41
L0DSL2,1.7.2.2,1,1.7,1.7.2,1.7.2.2
O14678,7.6.2.8,7,7.6,7.6.2,7.6.2.1
O22213,1.5.99.12,1,1.5,1.5.99,1.5.99.12
O28608,1.4.1.1,1,1.1,1.1.1,1.5.1.49
O34450,3.5.1.25,3,3.5,3.5.1,3.5.1.25
O60841,3.6.5.3,3,3.6,3.6.5,3.6.5.3
O74429,2.7.4.24,2,2.7,2.7.4,2.7.4.24
O75223,4.3.2.9,4,4.3,4.3.2,4.3.2.9
O77759,2.3.1.26,2,2.3,2.3.1,2.3.1.-
O83553,2.7.1.90,2,2.7,2.7.1,2.7.1.90
O93875,1.14.19.20,1,1.14,1.14.19,1.14.19.20
O94284,1.8.5.-,1,1.6,1.6.5,1.6.5.9
O94766,2.4.1.135,2,2.4,2.4.1,2.4.1.135
O96028,2.1.1.357,2,2.1,2.1.1,2.1.1.357
O97554,1.14.99.1,1,1.14,1.11.1,1.14.99.-
P04968,4.3.1.19,4,4.3,4.3.1,4.3.1.19
P06632,1.1.1.346,1,1.1,1.1.1,1.1.1.-
P07872,1.3.3.6,1,1.3,1.3.3,1.3.3.6
P09030,3.1.11.2,3,3.1,3.1.11,3.1.11.2
P09230,3.4.21.62,3,3.4,3.4.21,3.4.21.-
P0A1A5,2.6.1.42,2,2.6,2.6.1,2.6.1.42
P0A9G6,4.1.3.1,4,4.1,4.1.3,4.1.3.1
P0AC78,2.7.8.33,2,2.7,2.7.8,2.7.8.33
P0ACE7,3.9.1.-,3,3.9,3.9.1,3.9.1.-
P0AF32,1.7.5.1,1,1.7,1.7.5,1.7.5.1
P0CY48,7.1.1.8,7,7.1,7.1.1,7.1.1.8
P12807,1.4.3.21,1,1.4,1.4.3,1.4.3.21
P13856,3.6.5.2,3,3.6,3.6.5,3.6.5.2
P14532,1.11.1.5,1,1.11,1.11.1,1.11.1.5
P23640,3.6.5.2,3,3.6,3.6.5,3.6.5.2
P24389,1.21.99.4,1,1.21,1.21.99,1.21.99.4
P24583,2.7.11.13,2,2.7,2.7.11,2.7.11.13
P24752,2.3.1.9,2,2.3,2.3.1,2.3.1.16
P26362,5.6.1.6,7,7.6,7.6.2,7.6.2.2
P27472,2.4.1.11,2,2.4,2.4.1,2.4.1.11
P28829,2.7.11.25,2,2.7,2.7.11,2.7.11.25
P28876,7.1.2.1,7,7.1,7.1.2,7.1.2.1
P30038,1.2.1.88,1,1.2,1.2.1,1.2.1.88
P30291,2.7.10.2,2,2.7,2.7.11,2.7.11.1
P31021,3.6.5.2,3,3.6,3.6.5,3.6.5.2
P31551,4.2.1.149,4,4.2,4.2.1,4.2.1.17
P31614,3.1.1.53,3,3.1,3.1.1,3.1.1.53
P32019,3.1.3.36,3,3.1,3.1.3,3.1.4.12
P34722,2.7.11.13,2,2.7,2.7.11,2.7.11.13
P35278,3.6.5.2,3,3.6,3.6.5,3.6.5.2
P35739,2.7.10.1,2,2.7,2.7.10,2.7.10.1
