Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
A4D126,2.7.7.40,2,2.7,2.7.7,2.7.7.40
A8C984,2.7.11.18,2,2.7,2.7.11,2.7.11.1
B0YJ81,4.2.1.134,4,4.2,4.2.1,4.2.1.134
B2J528,4.3.1.24,4,4.3,4.3.1,4.3.1.3
B9TSP7,1.2.1.84,1,1.2,1.2.1,1.2.1.84
C7AJA4,2.7.7.52,2,2.7,2.7.7,2.7.7.52
D4GTL3,4.1.3.1,4,4.1,4.1.3,4.1.3.30
F1QG30,3.1.4.12,3,3.1,3.1.4,3.1.4.12
F4JGR5,2.7.1.90,2,2.7,2.7.1,2.7.1.90
F4K2A1,6.3.2.17,6,6.3,6.3.2,6.3.2.17
F4KH86,3.5.4.33,3,3.5,3.5.4,3.5.4.33
G1JSL4,1.11.2.3,1,1.11,1.11.2,1.11.2.3
G5EB30,3.2.1.14,3,3.2,3.2.1,3.2.1.14
G5EB37,5.4.99.5,5,5.4,5.4.99,5.4.99.5
G5EBH1,7.6.2.1,7,7.6,7.6.2,7.6.2.1
H2L002,4.6.1.2,4,4.6,4.6.1,4.6.1.2
H2QL32,3.1.4.35,3,3.1,3.1.4,3.1.4.17
H9J9M0,3.5.1.41,3,3.5,3.5.1,3.5.1.41
I3R9M9,1.7.5.1,1,1.7,1.7.2,1.7.2.3
J8G6Z1,3.2.2.5,3,3.2,3.2.2,3.2.2.5
J9VHN6,1.14.99.-,1,1.15,1.15.1,1.15.1.1
K7QRJ5,5.5.1.-,1,1.14,1.14.13,1.14.13.-
K7QVW7,5.5.1.-,5,5.5,5.5.1,4.4.1.3
O01700,2.7.11.25,2,2.7,2.7.11,2.7.11.25
O02298,4.6.1.2,4,4.6,4.6.1,4.6.1.2
O05512,3.2.1.78,3,3.2,3.2.1,3.2.1.78
O07431,2.1.1.6,2,2.1,2.1.1,2.1.1.-
O08911,2.7.11.24,2,2.7,2.7.11,2.7.11.24
O13666,1.14.19.20,1,1.14,1.14.19,1.14.19.20
O14299,2.7.11.25,2,2.7,2.7.11,2.7.11.25
O14370,2.6.1.42,2,2.6,2.6.1,2.6.1.42
O14686,2.1.1.364,2,2.1,2.1.1,2.1.1.364
O15056,3.1.3.36,3,3.1,3.1.3,3.1.3.36
O18696,3.1.4.17,3,3.1,3.1.4,3.1.4.17
O22040,2.7.11.25,2,2.7,2.7.11,2.7.11.25
O23349,1.4.3.21,1,1.4,1.4.3,1.4.3.21
O24648,1.14.11.15,1,1.14,1.14.11,1.14.11.-
O29867,2.4.99.21,2,2.4,2.4.99,2.4.99.21
O30085,7.2.2.9,7,7.2,7.2.2,7.2.2.8
O32220,7.2.2.8,7,7.2,7.2.2,7.2.2.8
O33855,6.2.1.2,6,6.2,6.2.1,6.2.1.-
O35002,3.4.21.102,3,3.4,3.4.21,3.4.21.102
O35099,2.7.11.25,2,2.7,2.7.11,2.7.11.25
O35303,3.6.5.5,3,3.6,3.6.5,3.6.5.5
O35509,3.6.5.2,3,3.6,3.6.5,3.6.5.2
O35600,7.6.2.1,7,7.6,7.6.2,7.6.2.1
O41933,2.3.2.36,2,2.3,2.3.2,2.3.2.27
O42807,3.1.1.73,3,3.1,3.1.1,3.1.1.3
O43173,2.4.99.-,2,2.4,2.4.99,2.4.99.-
O43861,7.6.2.1,7,7.6,7.6.2,7.6.2.1
O44408,2.7.11.24,2,2.7,2.7.11,2.7.11.24
O44514,2.7.11.24,2,2.7,2.7.11,2.7.11.24
O46102,2.7.7.19,2,2.7,2.7.7,2.7.7.19
O54865,4.6.1.2,4,4.6,4.6.1,4.6.1.2
O54975,3.4.11.9,3,3.4,3.4.11,3.4.11.9
O60260,2.3.2.31,2,2.3,2.3.2,2.3.2.31
O60671,3.1.11.2,3,3.1,3.1.11,3.1.11.2
O60678,2.1.1.319,2,2.1,2.1.1,2.1.1.319
