Entry,True EC,Predict main EC,Predict child1,Predict child2,Predict child3
E7F3I6,2.7.1.78,2,2.7,2.7.1,2.7.1.-
F1RQM2,5.4.2.3,5,5.4,5.4.2,5.4.2.3
F4J8C6,2.7.4.24,2,2.7,2.7.4,2.7.4.24
G4RK16,2.7.1.90,2,2.7,2.7.1,2.7.1.11
H9JW43,3.5.1.41,3,3.5,3.5.1,3.5.1.41
O04983,6.3.4.14,6,6.4,6.4.1,6.4.1.4
O05442,3.2.2.5,2,2.4,2.4.2,2.4.2.31
O22854,1.5.5.1,1,1.5,1.5.5,1.5.5.1
O23404,2.7.9.1,2,2.7,2.7.9,2.7.9.1
O35049,3.1.4.12,3,3.1,3.1.4,3.1.4.12
O35263,3.1.1.47,3,3.1,3.1.1,3.1.1.89
O35854,2.6.1.42,2,2.6,2.6.1,2.6.1.42
O43001,3.1.3.36,3,3.1,3.1.3,3.1.3.36
O43318,2.7.11.25,2,2.7,2.7.11,2.7.11.1
O50078,4.1.3.1,4,4.1,4.1.3,4.1.3.1
O54827,7.6.2.1,7,7.6,7.6.2,7.6.2.1
O60906,3.1.4.12,3,3.1,3.1.4,3.1.4.12
O64642,2.7.7.52,2,2.7,2.7.7,2.7.7.52
O65202,1.3.3.6,1,1.3,1.3.3,1.3.3.6
O70325,1.11.1.12,1,1.11,1.11.1,1.11.1.9
O70423,1.4.3.21,1,1.4,1.4.3,1.4.3.21
O74304,2.7.11.25,2,2.7,2.7.11,2.7.11.1
O75845,1.14.19.20,1,1.14,1.14.18,1.14.19.20
O76856,3.4.23.5,3,3.4,3.4.23,3.4.23.-
O80612,3.6.1.5,3,3.6,3.6.1,3.6.1.5
O80888,2.7.11.25,2,2.7,2.7.11,2.7.11.25
O81472,2.7.11.24,2,2.7,2.7.11,2.7.11.1
O88693,2.4.1.80,2,2.4,2.4.1,2.4.1.80
O95477,7.6.2.1,7,7.6,7.6.2,7.6.2.-
O97240,3.1.11.2,3,3.1,3.1.11,3.1.11.2
P00644,3.1.31.1,3,3.2,3.2.1,3.1.31.1
P00782,3.4.21.62,3,3.4,3.4.21,3.4.21.-
P04694,2.6.1.5,2,2.6,2.6.1,2.6.1.-
P04972,3.1.4.35,3,3.1,2.4.2,3.2.2.22
P05425,7.2.2.8,7,7.2,7.2.2,7.2.2.9
P05714,3.6.5.2,3,3.6,3.6.5,3.6.5.2
P06181,1.11.1.14,1,1.11,1.11.1,1.11.1.7
P06780,3.6.5.2,3,3.6,3.6.5,3.6.5.2
P07142,7.1.1.8,7,7.1,7.1.1,7.1.1.8
P07975,3.1.1.53,3,3.2,3.2.1,3.1.1.53
P08692,1.20.4.1,1,1.20,1.20.4,1.20.4.1
P09152,1.7.5.1,1,1.7,1.7.5,1.7.5.1
P09832,1.4.1.13,1,1.4,1.4.1,1.4.1.13
P0ABF1,2.7.7.19,2,2.7,2.7.7,2.7.7.-
P0C1S8,2.7.10.2,2,2.7,2.7.10,2.7.10.2
P0CJ63,3.1.1.81,3,3.1,3.1.1,3.1.1.81
P0DI91,1.4.3.2,2,2.1,2.1.1,2.1.1.148
P0DQH9,1.4.3.2,3,4.1,4.1.1,1.3.7.5
P10153,4.6.1.18,3,3.1,3.1.27,3.1.27.-
P10506,2.7.12.2,2,2.7,2.7.12,2.7.12.2
P11233,3.6.5.2,3,3.6,3.6.5,3.6.5.2
P11485,3.2.1.18,3,3.2,3.2.1,3.2.1.18
P11799,2.7.11.18,2,2.7,2.7.11,2.7.11.1
P13677,2.7.11.13,2,2.7,2.7.11,2.7.11.13
P14423,3.1.1.4,3,3.1,3.1.1,3.1.1.4
P14740,3.4.14.5,3,3.4,3.4.14,3.4.14.-
P15127,2.7.10.1,2,2.7,2.7.10,2.7.10.1
P16234,2.7.10.1,2,2.7,2.7.10,2.7.10.1
P16753,3.4.21.97,3,3.4,3.4.21,3.4.21.97
P17710,2.7.1.1,2,2.7,2.7.1,2.7.1.1
P17948,2.7.10.1,2,2.7,2.7.10,2.7.10.1
P17978,4.2.99.-,4,4.2,4.2.99,4.2.99.-
P18106,2.7.10.2,2,2.7,2.7.11,2.7.10.2
P18160,2.7.10.2,2,2.7,2.7.11,2.7.11.1
P18161,2.7.10.2,2,2.7,2.7.11,2.7.11.1
P18475,2.7.10.1,2,2.7,2.7.10,2.7.10.1
P19080,5.4.99.5,5,5.4,5.4.99,5.4.99.5
P19113,4.1.1.22,4,4.1,4.1.1,4.1.1.22
P19262,2.3.1.61,2,2.3,2.3.1,2.3.1.61
P21340,2.3.1.57,2,2.3,2.3.1,2.3.1.-
P21439,7.6.2.1,7,7.6,7.6.2,7.6.2.2
P21860,2.7.10.1,2,2.7,2.7.10,2.7.10.1
P22083,2.4.1.152,2,2.4,2.4.1,2.4.1.41
P22517,2.7.11.17,2,2.7,2.7.11,2.7.11.1
P22518,2.7.12.1,2,2.7,2.7.12,2.7.12.1
P22543,2.7.1.137,2,2.7,2.7.1,2.7.1.137
P23298,2.7.11.13,2,2.7,2.7.11,2.7.11.13
P23561,2.7.11.25,2,2.7,2.7.11,2.7.11.25
P24348,2.7.10.1,2,2.7,2.7.10,2.7.10.1
P25087,2.1.1.41,2,2.1,2.1.1,2.1.1.41
P25455,3.1.4.11,3,3.1,3.1.4,3.1.4.11
P26512,2.7.2.4,2,2.7,2.7.2,2.7.2.4
P27040,2.7.11.30,2,2.7,2.7.11,2.7.11.30
P27619,3.6.5.5,3,3.6,3.6.5,3.6.5.5
P27815,3.1.4.53,3,3.1,3.1.4,3.1.4.35
P29323,2.7.10.1,2,2.7,2.7.10,2.7.10.1
P29422,1.11.1.6,1,1.11,1.11.1,1.11.1.6
P29468,2.7.7.19,2,2.7,2.7.7,2.7.7.19
P29597,2.7.10.2,2,2.7,2.7.10,2.7.10.2
P29768,3.2.1.18,3,3.2,3.2.1,3.2.1.18
P30530,2.7.10.1,2,2.7,2.7.10,2.7.10.1
P32179,3.1.3.7,3,3.1,3.1.3,3.1.3.7
P32277,6.5.1.3,6,6.5,6.5.1,6.5.1.3
P32350,2.7.12.1,2,2.7,2.7.12,2.7.12.1
P32383,3.1.4.11,3,3.1,3.1.4,3.1.4.11
P32490,2.7.12.2,2,2.7,2.7.12,2.7.12.2
P32582,4.2.1.22,4,4.2,4.2.1,4.2.1.22
P32794,3.6.4.10,3,3.6,3.6.4,3.6.4.10
P32800,2.3.2.36,2,2.3,2.3.2,2.3.2.27
P33402,4.6.1.2,4,4.6,4.6.1,4.6.1.2
P33886,2.7.12.2,2,2.7,2.7.12,2.7.12.2
P33981,2.7.12.1,2,2.7,2.7.11,2.7.11.1
P34098,3.2.1.24,3,3.2,3.2.1,3.2.1.24
P34925,2.7.10.1,2,2.7,2.7.10,2.7.10.1
P34949,5.3.1.8,5,5.3,5.3.1,5.3.1.8
P35483,3.1.3.1,3,3.1,3.1.3,3.1.3.1
P35590,2.7.10.1,2,2.7,2.7.10,2.7.10.1
P35832,3.1.3.48,3,3.1,3.1.3,3.1.3.48
P35992,3.1.3.48,3,3.1,3.1.3,3.1.3.48
P36113,2.3.2.31,2,2.3,2.3.2,2.3.2.31
P37672,1.1.1.130,1,1.1,1.1.1,1.1.1.-
P38433,3.1.1.7,3,3.1,3.1.1,3.1.1.7
P38590,3.1.3.48,3,3.1,3.1.3,3.1.3.48
P39676,1.14.12.17,1,1.14,1.14.12,1.14.12.17
P39745,2.7.11.24,2,2.7,2.7.11,2.7.11.24
P39877,3.1.1.4,3,3.1,3.1.1,3.1.1.4
P39986,7.4.2.-,7,7.2,7.2.2,7.2.2.-
P40048,3.1.3.48,3,3.1,3.1.3,3.1.3.48
P40136,4.6.1.1,2,3.4,3.4.21,3.4.21.-
P40145,4.6.1.1,4,4.6,4.6.1,4.6.1.1
P40350,2.4.1.117,2,2.4,2.4.1,2.4.1.117
P40376,2.7.11.11,2,2.7,2.7.11,2.7.11.1
P40479,3.1.3.48,3,3.1,3.1.3,3.1.3.48
P40530,2.7.11.2,2,2.7,2.7.11,2.7.11.2
P40857,4.2.1.134,4,4.2,4.2.1,4.2.1.134
P40954,3.2.1.14,3,3.2,3.2.1,3.2.1.14
P41808,2.7.11.24,2,2.7,2.7.11,2.7.11.24
P42126,5.3.3.8,4,4.2,4.2.1,5.3.3.8
P42770,1.8.1.7,1,1.8,1.8.1,1.8.1.7
P42820,3.2.1.14,3,3.2,3.2.1,3.2.1.14
P43378,3.1.3.48,3,3.1,3.1.3,3.1.3.48
P45868,1.1.1.38,1,1.1,1.1.1,1.1.1.38
P46580,2.1.1.320,2,2.1,2.1.1,2.1.1.320
P47058,3.5.4.33,3,3.5,3.5.4,3.5.4.33
P48760,6.3.2.17,6,6.3,6.3.2,6.3.2.17
P48965,3.1.3.48,3,3.1,3.1.3,3.1.3.48
P48967,3.1.3.48,3,3.1,3.1.3,3.1.3.48
P49221,2.3.2.13,2,2.3,2.3.2,2.3.2.13
